Equipment ID,Asset ID (point),Date,Original row #
351.BL115,BL DE,2025-02-03,1224
351.BL115,BL NDE,2025-02-03,1225
351.BL115,Motor DE,2025-02-03,1226
351.BL115,Motor NDE,2025-02-03,1227
532.BE220,Shaft 1 inboard  DE,2025-02-19,1295
532.BE220,Shaft 2  inboard  DE,2025-02-19,1296
532.BE220,Shaft 2  outboard NDE,2025-02-19,1297
461.CP525,Compressor DE,2025-01-29,1420
461.CP525,Compressor DE,2025-02-12,1421
461.CP525,Compressor NDE,2025-02-12,1422
461.CP525,Motor DE,2025-02-12,1423
461.CP525,Motor NDE,2025-02-12,1424
641.BE050,Shaft 1 inboard  DE,2025-02-20,1494
641.BE050,Shaft 2  inboard  DE,2025-02-20,1495
641.BE050,Shaft 2  outboard NDE,2025-02-20,1496
642.BE050,Shaft 1 inboard  DE,2025-02-20,1499
642.BE050,Shaft 2  inboard  DE,2025-02-20,1500
642.BE050,Shaft 2  outboard NDE,2025-02-20,1501
643.BE050,Shaft 1 inboard  DE,2025-02-20,1504
643.BE050,Shaft 2  inboard  DE,2025-02-20,1505
643.BE050,Shaft 2  outboard NDE,2025-02-20,1506
644.BE050,Shaft 1 inboard  DE,2025-02-23,1509
644.BE050,Shaft 2  inboard  DE,2025-02-23,1510
644.BE050,Shaft 2  outboard NDE,2025-02-23,1511
645.BE050,Shaft 1 inboard  DE,2025-02-23,1514
645.BE050,Shaft 2  inboard  DE,2025-02-23,1515
645.BE050,Shaft 2  outboard NDE,2025-02-23,1516
646.BE050,Shaft 1 inboard  DE,2025-02-23,1519
646.BE050,Shaft 2  inboard  DE,2025-02-23,1520
646.BE050,Shaft 2  outboard NDE,2025-02-23,1521
352.BL115,BL DE,2025-02-13,1612
352.BL115,BL NDE,2025-02-13,1613
352.BL115,Motor DE,2025-02-13,1614
352.BL115,Motor NDE,2025-02-13,1615
534.BE220,Shaft 1 inboard  DE,2025-02-17,1680
534.BE220,Shaft 2  inboard  DE,2025-02-17,1681
534.BE220,Shaft 2  outboard NDE,2025-02-17,1682
743.CP115,Compressor DE,2025-02-13,1785
743.CP115,Compressor NDE,2025-02-13,1786
743.CP115,Motor DE,2025-02-13,1787
743.CP115,Motor NDE,2025-02-13,1788
332.FN400,Shaft 1 inboard,2025-01-13,1802
332.FN400,Shaft 1 outboard,2025-01-13,1803
332.FN400,Shaft 2 inboard,2025-01-13,1804
332.FN400,Shaft 2 outboard,2025-01-13,1805
322.MD152,Motor DE,2025-01-01,1878
322.MD152,Motor NDE,2025-01-01,1879
322.MD152,Shaft 1 inboard  DE,2025-01-01,1880
322.MD152,Shaft 1 Outboard NDE,2025-01-01,1881
322.MD152,Shaft 2  inboard  DE,2025-01-01,1882
322.MD152,Shaft 2  outboard NDE,2025-01-01,1883
351.BL115,BL DE,2025-05-20,1916
351.BL115,BL NDE,2025-05-20,1917
351.BL115,Motor DE,2025-04-13,1918
351.BL115,Motor DE,2025-05-20,1919
351.BL115,Motor NDE,2025-05-20,1920
645.BL585,BL DE,2025-05-12,1934
645.BL585,BL NDE,2025-05-12,1935
645.BL585,Motor DE,2025-05-12,1936
645.BL585,Motor NDE,2025-05-12,1937
532.BE220,Shaft 1 inboard  DE,2025-04-23,1988
532.BE220,Shaft 2  inboard  DE,2025-04-23,1989
532.BE220,Shaft 2  outboard NDE,2025-04-23,1990
461.CP525,Compressor DE,2025-04-15,2104
461.CP525,Compressor NDE,2025-04-15,2105
461.CP525,Motor DE,2025-04-15,2106
461.CP525,Motor NDE,2025-04-15,2107
644.BE050,Shaft 1 inboard  DE,2025-04-24,2190
644.BE050,Shaft 2  inboard  DE,2025-04-24,2191
644.BE050,Shaft 2  outboard NDE,2025-04-24,2192
645.BE050,Shaft 1 inboard  DE,2025-04-24,2195
645.BE050,Shaft 2  inboard  DE,2025-04-24,2196
645.BE050,Shaft 2  outboard NDE,2025-04-24,2197
646.BE050,Shaft 1 inboard  DE,2025-04-24,2200
646.BE050,Shaft 2  inboard  DE,2025-04-24,2201
646.BE050,Shaft 2  outboard NDE,2025-04-24,2202
352.BL115,BL DE,2025-04-10,2286
352.BL115,BL NDE,2025-04-10,2287
352.BL115,Motor DE,2025-04-10,2288
352.BL115,Motor NDE,2025-04-10,2289
342.BE050,Shaft 1 Ouboard,2025-04-10,2320
352.BE340,Shaft 1 Ouboard,2025-04-10,2326
342.BE051,Shaft 1 Ouboard,2025-04-10,2332
352.BE341,Shaft 1 Ouboard,2025-04-10,2338
534.BE220,Shaft 1 inboard  DE,2025-04-28,2358
534.BE220,Shaft 2  inboard  DE,2025-04-28,2359
534.BE220,Shaft 2  outboard NDE,2025-04-28,2360
743.CP115,Compressor DE,2025-02-13,2469
743.CP115,Compressor NDE,2025-02-13,2470
743.CP115,Motor DE,2025-02-13,2471
743.CP115,Motor NDE,2025-02-13,2472
462.CP.535,Compressor DE,2025-04-16,2485
462.CP.535,Compressor NDE,2025-04-16,2486
462.CP.535,Motor DE,2025-04-16,2487
462.CP.535,Motor NDE,2025-04-16,2488
332.FN400,Shaft 1 inboard,2025-01-13,2494
332.FN400,Shaft 1 outboard,2025-01-13,2495
332.FN400,Shaft 2 inboard,2025-01-13,2496
332.FN400,Shaft 2 outboard,2025-01-13,2497
322.MD152,Motor DE,2025-01-01,2574
322.MD152,Motor NDE,2025-01-01,2575
322.MD152,Shaft 1 inboard DE,2025-01-01,2576
322.MD152,Shaft 1 Outboard NDE,2025-01-01,2577
322.MD152,Shaft 2 inboard DE,2025-01-01,2578
322.MD152,Shaft 2  outboard NDE,2025-01-01,2579
351.BL115,BL DE,2025-05-20,2613
351.BL115,BL NDE,2025-05-20,2614
351.BL115,Motor DE,2025-05-20,2615
351.BL115,Motor NDE,2025-05-20,2616
645.BL585,BL DE,2025-08-07,2637
645.BL585,BL NDE,2025-08-07,2638
645.BL585,Motor DE,2025-08-07,2639
645.BL585,Motor NDE,2025-08-07,2640
532.BE220,Shaft 1 inboard  DE,2025-06-25,2692
532.BE220,Shaft 2  inboard  DE,2025-06-25,2693
532.BE220,Shaft 2  outboard NDE,2025-06-25,2694
643.BE050,Shaft 1 inboard  DE,2025-06-26,2912
643.BE050,Shaft 2  inboard  DE,2025-06-26,2913
643.BE050,Shaft 2  outboard NDE,2025-06-26,2914
534.BE220,Shaft 1 inboard  DE,2025-07-01,3075
534.BE220,Shaft 2  inboard  DE,2025-07-01,3076
534.BE220,Shaft 2  outboard NDE,2025-07-01,3077
351.BL115,BL DE,2025-05-20,3319
351.BL115,BL NDE,2025-05-20,3320
351.BL115,Motor DE,2025-05-20,3321
351.BL115,Motor NDE,2025-05-20,3322
645.BL585,BL DE,2025-07-08,3353
645.BL585,BL NDE,2025-07-08,3354
645.BL585,Motor DE,2025-07-08,3355
645.BL585,Motor NDE,2025-07-08,3356
532.BE220,Shaft 1 inboard  DE,2025-08-26,3411
532.BE220,Shaft 2  inboard  DE,2025-08-26,3412
532.BE220,Shaft 2  outboard NDE,2025-08-26,3413
641.BE050,Shaft 1 inboard  DE,2025-08-24,3629
641.BE050,Shaft 2  inboard  DE,2025-08-24,3630
641.BE050,Shaft 2  outboard NDE,2025-08-24,3631
642.BE050,Shaft 1 inboard  DE,2025-08-24,3634
642.BE050,Shaft 2  inboard  DE,2025-08-24,3635
642.BE050,Shaft 2  outboard NDE,2025-08-24,3636
643.BE050,Shaft 1 inboard  DE,2025-08-24,3639
643.BE050,Shaft 2  inboard  DE,2025-08-24,3640
643.BE050,Shaft 2  outboard NDE,2025-08-24,3641
644.BE050,Shaft 1 inboard  DE,2025-08-20,3644
644.BE050,Shaft 2  inboard  DE,2025-08-20,3645
644.BE050,Shaft 2  outboard NDE,2025-08-20,3646
645.BE050,Shaft 1 inboard  DE,2025-08-20,3649
645.BE050,Shaft 2  inboard  DE,2025-08-20,3650
645.BE050,Shaft 2  outboard NDE,2025-08-20,3651
646.BE050,Shaft 1 inboard  DE,2025-08-20,3654
646.BE050,Shaft 2  inboard  DE,2025-08-20,3655
646.BE050,Shaft 2  outboard NDE,2025-08-20,3656
532.MD302,Fan DE,2025-08-26,3717
532.MD302,Fan NDE,2025-08-26,3718
645.BL585,BL DE,2025-07-08,3771
645.BL585,BL NDE,2025-07-08,3772
645.BL585,Motor DE,2025-07-08,3773
645.BL585,Motor NDE,2025-07-08,3774
532.BE220,Shaft 1 inboard  DE,2025-08-26,3830
532.BE220,Shaft 2  inboard  DE,2025-08-26,3831
532.BE220,Shaft 2  outboard NDE,2025-08-26,3832
641.BE050,Shaft 1 inboard  DE,2025-08-24,4048
641.BE050,Shaft 2  inboard  DE,2025-08-24,4049
641.BE050,Shaft 2  outboard NDE,2025-08-24,4050
642.BE050,Shaft 1 inboard  DE,2025-08-24,4053
642.BE050,Shaft 2  inboard  DE,2025-08-24,4054
642.BE050,Shaft 2  outboard NDE,2025-08-24,4055
643.BE050,Shaft 1 inboard  DE,2025-08-24,4058
643.BE050,Shaft 2  inboard  DE,2025-08-24,4059
643.BE050,Shaft 2  outboard NDE,2025-08-24,4060
644.BE050,Shaft 1 inboard  DE,2025-08-20,4063
644.BE050,Shaft 2  inboard  DE,2025-08-20,4064
644.BE050,Shaft 2  outboard NDE,2025-08-20,4065
645.BE050,Shaft 1 inboard  DE,2025-08-20,4068
645.BE050,Shaft 2  inboard  DE,2025-08-20,4069
645.BE050,Shaft 2  outboard NDE,2025-08-20,4070
646.BE050,Shaft 1 inboard  DE,2025-08-20,4073
646.BE050,Shaft 2  inboard  DE,2025-08-20,4074
646.BE050,Shaft 2  outboard NDE,2025-08-20,4075
534.BE220,Shaft 1 inboard  DE,2025-08-28,4242
534.BE220,Shaft 2  inboard  DE,2025-08-28,4243
534.BE220,Shaft 2  outboard NDE,2025-08-28,4244
461.CP525,Compressor DE,2026-02-14,4652
461.CP525,Compressor NDE,2026-02-14,4653
461.CP525,Motor DE,2026-02-14,4654
461.CP525,Motor NDE,2026-02-14,4655
761.WI210,Motor DE,2026-02-22,4718
761.WI210,Motor NDE,2026-02-22,4719
761.WI211,Motor DE,2026-02-14,4720
761.WI211,Motor DE,2026-02-22,4721
761.WI211,Motor NDE,2026-02-22,4722
761.WI212,Motor DE,2026-02-22,4723
761.WI212,Motor NDE,2026-02-22,4724
761.WI213,Motor DE,2026-02-22,4725
761.WI213,Motor NDE,2026-02-22,4726
761.WI215,Motor DE,2026-02-14,4727
761.WI215,Motor NDE,2026-02-14,4728
761.WI216,Motor DE,2026-02-22,4729
761.WI216,Motor NDE,2026-02-22,4730
352.BL115,BL DE,2026-02-05,4751
352.BL115,BL NDE,2026-02-05,4752
352.BL115,Motor DE,2026-02-05,4753
352.BL115,Motor NDE,2026-02-05,4754
332.CP280,Compressor DE,2026-02-04,4898
332.CP280,Compressor NDE,2026-02-04,4899
332.CP280,Motor DE,2026-02-04,4900
332.CP280,Motor NDE,2026-02-04,4901
462.CP.535,Compressor DE,2026-02-09,4910
462.CP.535,Compressor NDE,2026-02-09,4911
462.CP.535,Motor NDE,2026-02-09,4912
762.WI211,Motor DE,2026-02-09,4972
762.WI211,Motor NDE,2026-02-09,4973
762.WI212,Motor DE,2026-02-10,4974
762.WI212,Motor NDE,2026-02-10,4975
762.WI213,Motor DE,2026-01-27,4976
762.WI213,Motor NDE,2026-01-27,4977
762.WI216,Motor DE,2026-01-27,4978
762.WI216,Motor NDE,2026-01-27,4979
461.CP525,Compressor DE,2026-02-14,5179
461.CP525,Compressor NDE,2026-02-14,5180
461.CP525,Motor DE,2026-02-14,5181
461.CP525,Motor NDE,2026-02-14,5182
441.WI001,Motor DE,2026-03-25,5250
441.WI001,Motor NDE,2026-03-25,5251
761.WI210,Motor DE,2026-04-08,5252
761.WI210,Motor NDE,2026-04-08,5253
441.WI002,Motor DE,2026-03-25,5254
441.WI002,Motor NDE,2026-03-25,5255
761.WI211,Motor DE,2026-04-08,5256
761.WI211,Motor NDE,2026-04-08,5257
441.WI003,Motor DE,2026-03-25,5258
441.WI003,Motor NDE,2026-03-25,5259
761.WI212,Motor DE,2026-04-08,5260
761.WI212,Motor NDE,2026-04-08,5261
441.WI004,Motor DE,2026-03-25,5262
441.WI004,Motor NDE,2026-03-25,5263
761.WI213,Motor DE,2026-04-08,5264
761.WI213,Motor NDE,2026-04-08,5265
761.WI214,Motor DE,2026-04-08,5266
761.WI214,Motor NDE,2026-04-08,5267
761.WI215,Motor DE,2026-02-14,5268
761.WI215,Motor NDE,2026-02-14,5269
761.WI216,Motor DE,2026-04-08,5270
761.WI216,Motor NDE,2026-04-08,5271
352.BL115,BL DE,2026-04-15,5299
352.BL115,BL NDE,2026-04-15,5300
352.BL115,Motor DE,2026-04-15,5301
352.BL115,Motor NDE,2026-04-15,5302
352.BL115,Motor NDE,2026-04-15,5303
332.CP280,Compressor DE,2026-03-31,5466
332.CP280,Compressor NDE,2026-03-31,5467
332.CP280,Motor DE,2026-03-31,5468
332.CP280,Motor NDE,2026-03-31,5469
462.CP.535,Compressor DE,2026-04-15,5478
462.CP.535,Compressor NDE,2026-04-15,5479
462.CP.535,Motor DE,2026-04-15,5480
462.CP.535,Motor NDE,2026-04-15,5481
442.WI001,Motor DE,2026-03-31,5541
442.WI001,Motor NDE,2026-03-31,5542
762.WI210,Motor DE,2026-04-08,5543
762.WI210,Motor NDE,2026-04-08,5544
442.WI002,Motor DE,2026-03-31,5545
442.WI002,Motor NDE,2026-03-31,5546
762.WI211,Motor DE,2026-04-08,5547
762.WI211,Motor NDE,2026-04-08,5548
442.WI003,Motor DE,2026-03-16,5549
442.WI003,Motor NDE,2026-03-16,5550
762.WI212,Motor DE,2026-04-08,5551
762.WI212,Motor NDE,2026-04-08,5552
442.WI004,Motor DE,2026-03-31,5553
442.WI004,Motor NDE,2026-03-31,5554
762.WI213,Motor DE,2026-01-27,5555
762.WI213,Motor NDE,2026-01-27,5556
442.WI005,Motor DE,2026-03-31,5557
442.WI005,Motor NDE,2026-03-31,5558
762.WI214,Motor DE,2026-04-08,5559
762.WI214,Motor NDE,2026-04-08,5560
762.WI216,Motor DE,2026-04-08,5561
762.WI216,Motor NDE,2026-04-08,5562
322.MD152,Motor DE,2026-04-14,5580
322.MD152,Motor NDE,2026-04-14,5581
322.MD152,Shaft 1 inboard  DE,2026-04-14,5582
322.MD152,Shaft 1 Outboard NDE,2026-04-14,5583
322.MD152,Shaft 2  inboard  DE,2026-04-14,5584
322.MD152,Shaft 2  outboard NDE,2026-04-14,5585
531.FN242,Fan NDE,2026-04-23,5591
532.BE220,Bearing DE,2026-04-23,5618
532.BE220,Bearing NDE,2026-04-23,5619
532.BE220,Shaft 1 inboard  DE,2026-04-23,5620
532.BE220,Shaft 2  inboard  DE,2026-04-23,5621
532.BE220,Shaft 2  outboard NDE,2026-04-23,5622
532.FN242,Fan NDE,2026-03-17,5626
533.FN364,Fan NDE,2026-04-22,5658
534.BE220,Shaft 1 inboard  DE,2026-04-27,5685
534.BE220,Shaft 2  inboard  DE,2026-04-27,5686
534.BE220,Shaft 2  outboard NDE,2026-04-27,5687
534.FN364,Fan NDE,2026-04-27,5695
341.BE040,Shaft 1 inboard,2026-04-29,5805
341.BE040,Shaft 2 inboard,2026-04-29,5806
351.BE340,Shaft 1 inboard,2026-04-29,5810
351.BE340,Shaft 2 inboard,2026-04-29,5811
342.BE041,Shaft 1 inboard,2026-04-29,5815
342.BE041,Shaft 2 inboard,2026-04-29,5816
351.BE341,Shaft 1 inboard,2026-04-29,5820
351.BE341,Shaft 2 inboard,2026-04-29,5821
461.CP525,Compressor DE,2026-04-30,5945
461.CP525,Compressor NDE,2026-04-30,5946
461.CP525,Motor DE,2026-04-30,5947
461.CP525,Motor NDE,2026-04-30,5948
441.WI001,Motor DE,2026-04-29,6019
441.WI001,Motor NDE,2026-04-29,6020
761.WI210,Motor DE,2026-04-08,6021
761.WI210,Motor NDE,2026-04-08,6022
441.WI002,Motor DE,2026-04-29,6023
441.WI002,Motor NDE,2026-04-29,6024
761.WI211,Motor DE,2026-04-08,6025
761.WI211,Motor NDE,2026-04-08,6026
441.WI003,Motor DE,2026-04-29,6027
441.WI003,Motor NDE,2026-04-29,6028
761.WI212,Motor DE,2026-04-08,6029
761.WI212,Motor NDE,2026-04-08,6030
441.WI004,Motor DE,2026-04-29,6031
441.WI004,Motor NDE,2026-04-29,6032
761.WI213,Motor DE,2026-04-08,6033
761.WI213,Motor NDE,2026-04-08,6034
761.WI214,Motor DE,2026-04-08,6035
761.WI214,Motor NDE,2026-04-08,6036
761.WI215,Motor DE,2026-02-14,6037
761.WI215,Motor NDE,2026-02-14,6038
761.WI216,Motor DE,2026-04-08,6039
761.WI216,Motor NDE,2026-04-08,6040
352.BL115,BL DE,2026-04-15,6068
352.BL115,BL NDE,2026-04-15,6069
352.BL115,Motor DE,2026-04-15,6070
352.BL115,Motor NDE,2026-02-05,6071
352.BL115,Motor NDE,2026-04-15,6072
342.BE050,Shaft 1 inboard,2026-04-20,6105
342.BE050,Shaft 2 inboard,2026-04-20,6106
352.BE340,Shaft 1 inboard,2026-04-20,6110
352.BE340,Shaft 2 inboard,2026-04-20,6111
342.BE051,Shaft 1 inboard,2026-04-20,6115
342.BE051,Shaft 2 inboard,2026-04-20,6116
352.BE341,Shaft 1 inboard,2026-04-20,6120
352.BE341,Shaft 2 inboard,2026-04-20,6121
743.CP115,Compressor DE,2026-04-21,6235
743.CP115,Compressor NDE,2026-04-21,6236
743.CP115,Motor DE,2026-04-21,6237
743.CP115,Motor NDE,2026-04-21,6238
332.CP280,Compressor DE,2026-04-21,6239
332.CP280,Compressor NDE,2026-04-21,6240
332.CP280,Motor DE,2026-04-21,6241
332.CP280,Motor NDE,2026-04-21,6242
462.CP.535,Compressor DE,2026-04-15,6251
462.CP.535,Compressor NDE,2026-04-15,6252
462.CP.535,Motor DE,2026-04-15,6253
462.CP.535,Motor NDE,2026-04-15,6254
442.WI001,Motor DE,2026-04-20,6309
442.WI001,Motor NDE,2026-04-20,6310
762.WI210,Motor DE,2026-04-08,6311
762.WI210,Motor NDE,2026-04-08,6312
442.WI002,Motor DE,2026-03-31,6313
442.WI002,Motor DE,2026-04-20,6314
442.WI002,Motor NDE,2026-04-20,6315
762.WI211,Motor DE,2026-04-08,6316
762.WI211,Motor NDE,2026-04-08,6317
442.WI003,Motor DE,2026-03-16,6318
442.WI003,Motor NDE,2026-03-16,6319
762.WI212,Motor DE,2026-04-08,6320
762.WI212,Motor NDE,2026-04-08,6321
442.WI004,Motor DE,2026-04-20,6322
442.WI004,Motor NDE,2026-04-20,6323
762.WI213,Motor DE,2026-01-27,6324
762.WI213,Motor NDE,2026-01-27,6325
442.WI005,Motor DE,2026-04-20,6326
442.WI005,Motor NDE,2026-04-20,6327
762.WI214,Motor DE,2026-04-08,6328
762.WI214,Motor NDE,2026-04-08,6329
762.WI216,Motor DE,2026-04-08,6330
762.WI216,Motor NDE,2026-04-08,6331
531.FN242,Fan NDE,2026-05-13,6365
532.FN242,Fan NDE,2026-05-13,6392
533.FN364,Fan NDE,2026-05-11,6425
