Equipment ID,Asset ID (point),Type,Date,Original row #
462.CP.535,Motor DE,A,2025-04-16,743
462.CP.535,Motor NDE,B,2025-04-16,744
533.MD302,Motor DE,SPM,2025-04-29,791
533.MD302,Motor NDE,SPM,2025-04-29,792
533.MD302,Shaft 1 inboard DE,SPM,2025-04-29,793
533.MD302,Shaft 1 Outboard NDE,SPM,2025-04-29,794
533.MD302,Shaft 2 inboard DE,SPM,2025-04-29,795
533.MD302,Shaft 2 outboard NDE,SPM,2025-04-29,796
534.MD302,Motor DE,SPM,2025-04-28,797
534.MD302,Motor NDE,SPM,2025-04-28,798
534.MD302,Shaft 1 inboard DE,SPM,2025-04-28,799
534.MD302,Shaft 1 Outboard NDE,SPM,2025-04-28,800
534.MD302,Shaft 2 inboard DE,SPM,2025-04-28,801
534.MD302,Shaft 2 outboard NDE,SPM,2025-04-28,802
645.BL585,BL DE,SPM,2025-08-07,828
645.BL585,BL NDE,SPM,2025-08-07,829
645.BL585,Motor DE,SPM,2025-08-07,830
645.BL585,Motor NDE,SPM,2025-08-07,831
744.CP113,Compressor DE,5,2025-05-08,1382
744.CP113,Compressor DE,7,2025-05-08,1383
744.CP113,Compressor NDE,1,2025-05-08,1384
744.CP113,Motor DE,A,2025-05-08,1385
744.CP113,Motor NDE,B,2025-05-08,1386
533.MD302,Motor DE,SPM,2025-06-30,1477
533.MD302,Motor NDE,SPM,2025-06-30,1478
533.MD302,Shaft 1 inboard DE,SPM,2025-06-30,1479
533.MD302,Shaft 1 Outboard NDE,SPM,2025-06-30,1480
533.MD302,Shaft 2 inboard DE,SPM,2025-06-30,1481
533.MD302,Shaft 2 outboard NDE,SPM,2025-06-30,1482
534.MD302,Motor DE,SPM,2025-07-01,1483
534.MD302,Motor NDE,SPM,2025-07-01,1484
534.MD302,Shaft 1 inboard DE,SPM,2025-07-01,1485
534.MD302,Shaft 1 Outboard NDE,SPM,2025-07-01,1486
534.MD302,Shaft 2 inboard DE,SPM,2025-07-01,1487
534.MD302,Shaft 2 outboard NDE,SPM,2025-07-01,1488
645.BL585,BL DE,SPM,2025-07-08,1533
645.BL585,BL NDE,SPM,2025-07-08,1534
645.BL585,Motor DE,SPM,2025-07-08,1535
645.BL585,Motor NDE,SPM,2025-07-08,1536
645.BL585,BL DE,SPM,2025-07-08,1949
645.BL585,BL NDE,SPM,2025-07-08,1950
645.BL585,Motor DE,SPM,2025-07-08,1951
645.BL585,Motor NDE,SPM,2025-07-08,1952
744.CP113,Compressor DE,5,2025-09-15,2551
744.CP113,Compressor DE,7,2025-09-15,2552
744.CP113,Compressor NDE,1,2025-09-15,2553
744.CP113,Motor DE,A,2025-09-15,2554
744.CP113,Motor NDE,B,2025-09-15,2555
533.MD302,Motor DE,SPM,2025-08-28,2647
533.MD302,Motor NDE,SPM,2025-08-28,2648
533.MD302,Shaft 1 inboard DE,SPM,2025-08-28,2649
533.MD302,Shaft 1 Outboard NDE,SPM,2025-08-28,2650
533.MD302,Shaft 2 inboard DE,SPM,2025-08-28,2651
533.MD302,Shaft 2 outboard NDE,SPM,2025-08-28,2652
534.MD302,Motor DE,SPM,2025-08-28,2653
534.MD302,Motor NDE,SPM,2025-08-28,2654
534.MD302,Shaft 1 inboard DE,SPM,2025-08-28,2655
534.MD302,Shaft 1 Outboard NDE,SPM,2025-08-28,2656
534.MD302,Shaft 2 inboard DE,SPM,2025-08-28,2657
534.MD302,Shaft 2 outboard NDE,SPM,2025-08-28,2658
461.CP525,Compressor DE,5,2026-02-14,2852
461.CP525,Compressor DE,7,2026-02-14,2853
461.CP525,Compressor NDE,1,2026-02-14,2854
461.CP525,Motor DE,A,2026-02-14,2855
461.CP525,Motor NDE,B,2026-02-14,2856
761.WI210,Motor DE,SPM,2026-02-22,2919
761.WI210,Motor NDE,SPM,2026-02-22,2920
761.WI211,Motor DE,SPM,2026-02-22,2921
761.WI211,Motor NDE,SPM,2026-02-22,2922
761.WI212,Motor DE,SPM,2026-02-22,2923
761.WI212,Motor NDE,SPM,2026-02-22,2924
761.WI213,Motor DE,SPM,2026-02-22,2925
761.WI213,Motor NDE,SPM,2026-02-22,2926
761.WI215,Motor DE,SPM,2026-02-13,2927
761.WI215,Motor NDE,SPM,2026-02-14,2928
761.WI216,Motor DE,SPM,2026-02-22,2929
761.WI216,Motor NDE,SPM,2026-02-22,2930
352.BL115,BL DE,SPM,2026-02-05,2946
352.BL115,BL NDE,SPM,2026-02-05,2947
352.BL115,Motor DE,SPM,2026-02-05,2948
352.BL115,Motor NDE,SPM,2026-02-05,2949
744.CP113,Compressor DE,5,2026-01-26,3092
744.CP113,Compressor DE,7,2026-01-26,3093
744.CP113,Compressor NDE,1,2026-01-26,3094
744.CP113,Motor DE,A,2026-01-26,3095
744.CP113,Motor NDE,B,2026-01-26,3096
332.CP280,Compressor DE,5,2026-02-04,3097
332.CP280,Compressor DE,7,2026-02-04,3098
332.CP280,Compressor NDE,1,2026-02-04,3099
332.CP280,Motor DE,A,2026-02-04,3100
332.CP280,Motor NDE,B,2026-02-04,3101
462.CP.535,Compressor DE,5,2026-02-09,3112
462.CP.535,Compressor DE,7,2026-02-09,3113
462.CP.535,Compressor NDE,1,2026-02-09,3114
462.CP.535,Motor DE,A,2026-02-09,3115
462.CP.535,Motor NDE,B,2026-02-09,3116
762.WI211,Motor DE,SPM,2026-02-09,3175
762.WI211,Motor NDE,SPM,2026-02-09,3176
762.WI212,Motor DE,SPM,2026-02-10,3177
762.WI212,Motor NDE,SPM,2026-02-10,3178
762.WI213,Motor DE,SPM,2026-01-27,3179
762.WI213,Motor NDE,SPM,2026-01-27,3180
762.WI216,Motor DE,SPM,2026-01-27,3181
762.WI216,Motor NDE,SPM,2026-01-27,3182
461.CP525,Compressor DE,5,2026-02-14,3381
461.CP525,Compressor DE,7,2026-02-14,3382
461.CP525,Compressor NDE,1,2026-02-14,3383
461.CP525,Motor DE,A,2026-02-14,3384
461.CP525,Motor NDE,B,2026-02-14,3385
441.WI001,Motor DE,SPM,2026-03-25,3445
441.WI001,Motor NDE,SPM,2026-03-25,3446
761.WI210,Motor DE,SPM,2026-04-08,3447
761.WI210,Motor NDE,SPM,2026-04-08,3448
441.WI002,Motor DE,SPM,2026-03-25,3449
441.WI002,Motor NDE,SPM,2026-03-25,3450
761.WI211,Motor DE,SPM,2026-04-08,3451
761.WI211,Motor NDE,SPM,2026-04-08,3452
441.WI003,Motor DE,SPM,2026-03-25,3453
441.WI003,Motor NDE,SPM,2026-03-25,3454
761.WI212,Motor DE,SPM,2026-04-08,3455
761.WI212,Motor NDE,SPM,2026-04-08,3456
441.WI004,Motor DE,SPM,2026-03-25,3457
441.WI004,Motor NDE,SPM,2026-03-25,3458
761.WI213,Motor DE,SPM,2026-04-08,3459
761.WI213,Motor NDE,SPM,2026-04-08,3460
761.WI214,Motor DE,SPM,2026-04-08,3461
761.WI214,Motor NDE,SPM,2026-04-08,3462
761.WI215,Motor DE,SPM,2026-02-13,3463
761.WI215,Motor NDE,SPM,2026-02-14,3464
761.WI216,Motor DE,SPM,2026-04-08,3465
761.WI216,Motor NDE,SPM,2026-04-08,3466
352.BL115,BL DE,SPM,2026-04-15,3488
352.BL115,BL NDE,SPM,2026-04-15,3489
352.BL115,Motor DE,SPM,2026-04-15,3490
352.BL115,Motor NDE,SPM,2026-04-15,3491
744.CP113,Compressor DE,5,2026-01-26,3648
744.CP113,Compressor DE,7,2026-01-26,3649
744.CP113,Compressor NDE,1,2026-01-26,3650
744.CP113,Motor DE,A,2026-01-26,3651
744.CP113,Motor NDE,B,2026-01-26,3652
332.CP280,Compressor DE,5,2026-03-31,3653
332.CP280,Compressor DE,7,2026-03-31,3654
332.CP280,Compressor NDE,1,2026-03-31,3655
332.CP280,Motor DE,A,2026-03-31,3656
332.CP280,Motor NDE,B,2026-03-31,3657
462.CP.535,Compressor DE,5,2026-04-15,3668
462.CP.535,Compressor DE,7,2026-04-15,3669
462.CP.535,Compressor NDE,1,2026-04-15,3670
462.CP.535,Motor DE,A,2026-04-15,3671
462.CP.535,Motor NDE,B,2026-04-15,3672
442.WI001,Motor DE,SPM,2026-03-31,3731
442.WI001,Motor NDE,SPM,2026-03-31,3732
762.WI210,Motor DE,SPM,2026-04-08,3733
762.WI210,Motor NDE,SPM,2026-04-08,3734
442.WI002,Motor DE,SPM,2026-03-31,3735
442.WI002,Motor NDE,SPM,2026-03-31,3736
762.WI211,Motor DE,SPM,2026-04-08,3737
762.WI211,Motor NDE,SPM,2026-04-08,3738
442.WI003,Motor DE,SPM,2026-03-16,3739
442.WI003,Motor NDE,SPM,2026-03-16,3740
762.WI212,Motor DE,SPM,2026-04-08,3741
762.WI212,Motor NDE,SPM,2026-04-08,3742
442.WI004,Motor DE,SPM,2026-03-31,3743
442.WI004,Motor NDE,SPM,2026-03-31,3744
762.WI213,Motor DE,SPM,2026-01-27,3745
762.WI213,Motor NDE,SPM,2026-01-27,3746
442.WI005,Motor DE,SPM,2026-03-31,3747
442.WI005,Motor NDE,SPM,2026-03-31,3748
762.WI214,Motor DE,SPM,2026-04-08,3749
762.WI214,Motor NDE,SPM,2026-04-08,3750
762.WI216,Motor DE,SPM,2026-04-08,3751
762.WI216,Motor NDE,SPM,2026-04-08,3752
322.MD152,Motor DE,SPM,2026-04-14,3763
322.MD152,Motor NDE,SPM,2026-04-14,3764
322.MD152,Shaft 1 inboard  DE,SPM,2026-04-14,3765
322.MD152,Shaft 1 Outboard NDE,SPM,2026-04-14,3766
322.MD152,Shaft 2  inboard  DE,SPM,2026-04-14,3767
322.MD152,Shaft 2  outboard NDE,SPM,2026-04-14,3768
341.BE040,Shaft 1 inboard,SPM,2026-04-29,3807
341.BE040,Shaft 2 inboard,SPM,2026-04-29,3808
351.BE340,Shaft 1 inboard,SPM,2026-04-29,3812
351.BE340,Shaft 2 inboard,SPM,2026-04-29,3813
342.BE041,Shaft 1 inboard,SPM,2026-04-29,3817
342.BE041,Shaft 2 inboard,SPM,2026-04-29,3818
351.BE341,Shaft 1 inboard,SPM,2026-04-29,3822
351.BE341,Shaft 2 inboard,SPM,2026-04-29,3823
461.CP525,Compressor DE,5,2026-04-30,3953
461.CP525,Compressor DE,7,2026-04-30,3954
461.CP525,Compressor NDE,1,2026-04-30,3955
461.CP525,Motor DE,A,2026-04-30,3956
461.CP525,Motor NDE,B,2026-04-30,3957
441.WI001,Motor DE,SPM,2026-04-29,4030
441.WI001,Motor NDE,SPM,2026-04-29,4031
761.WI210,Motor DE,SPM,2026-04-08,4032
761.WI210,Motor NDE,SPM,2026-04-08,4033
441.WI002,Motor DE,SPM,2026-04-29,4034
441.WI002,Motor NDE,SPM,2026-04-29,4035
761.WI211,Motor DE,SPM,2026-04-08,4036
761.WI211,Motor NDE,SPM,2026-04-08,4037
441.WI003,Motor DE,SPM,2026-04-29,4038
441.WI003,Motor NDE,SPM,2026-04-29,4039
761.WI212,Motor DE,SPM,2026-04-08,4040
761.WI212,Motor NDE,SPM,2026-04-08,4041
441.WI004,Motor DE,SPM,2026-04-29,4042
441.WI004,Motor NDE,SPM,2026-04-29,4043
761.WI213,Motor DE,SPM,2026-04-08,4044
761.WI213,Motor NDE,SPM,2026-04-08,4045
761.WI214,Motor DE,SPM,2026-04-08,4046
761.WI214,Motor NDE,SPM,2026-04-08,4047
761.WI215,Motor DE,SPM,2026-02-13,4048
761.WI215,Motor NDE,SPM,2026-02-14,4049
761.WI216,Motor DE,SPM,2026-04-08,4050
761.WI216,Motor NDE,SPM,2026-04-08,4051
352.BL115,BL DE,SPM,2026-04-15,4073
352.BL115,BL NDE,SPM,2026-04-15,4074
352.BL115,Motor DE,SPM,2026-04-15,4075
352.BL115,Motor NDE,SPM,2026-04-15,4076
342.BE050,Shaft 1 inboard,SPM,2026-04-20,4107
342.BE050,Shaft 2 inboard,SPM,2026-04-20,4108
352.BE340,Shaft 1 inboard,SPM,2026-04-20,4112
352.BE340,Shaft 2 inboard,SPM,2026-04-20,4113
342.BE051,Shaft 1 inboard,SPM,2026-04-20,4117
342.BE051,Shaft 2 inboard,SPM,2026-04-20,4118
352.BE341,Shaft 1 inboard,SPM,2026-04-20,4122
352.BE341,Shaft 2 inboard,SPM,2026-04-20,4123
744.CP113,Compressor DE,5,2026-01-26,4233
744.CP113,Compressor DE,7,2026-01-26,4234
744.CP113,Compressor NDE,1,2026-01-26,4235
744.CP113,Motor DE,A,2026-01-26,4236
744.CP113,Motor NDE,B,2026-01-26,4237
743.CP115,Compressor DE,5,2026-04-21,4238
743.CP115,Compressor DE,7,2026-04-21,4239
743.CP115,Compressor NDE,1,2026-04-21,4240
743.CP115,Motor DE,A,2026-04-21,4241
743.CP115,Motor NDE,B,2026-04-21,4242
332.CP280,Compressor DE,5,2026-04-21,4243
332.CP280,Compressor DE,7,2026-04-21,4244
332.CP280,Compressor NDE,1,2026-04-21,4245
332.CP280,Motor DE,A,2026-04-21,4246
332.CP280,Motor NDE,B,2026-04-21,4247
462.CP.535,Compressor DE,5,2026-04-15,4258
462.CP.535,Compressor DE,7,2026-04-15,4259
462.CP.535,Compressor NDE,1,2026-04-15,4260
462.CP.535,Motor DE,A,2026-04-15,4261
462.CP.535,Motor NDE,B,2026-04-15,4262
442.WI001,Motor DE,SPM,2026-04-20,4317
442.WI001,Motor NDE,SPM,2026-04-20,4318
762.WI210,Motor DE,SPM,2026-04-08,4319
762.WI210,Motor NDE,SPM,2026-04-08,4320
442.WI002,Motor DE,SPM,2026-04-20,4321
442.WI002,Motor NDE,SPM,2026-04-20,4322
762.WI211,Motor DE,SPM,2026-04-08,4323
762.WI211,Motor NDE,SPM,2026-04-08,4324
442.WI003,Motor DE,SPM,2026-03-16,4325
442.WI003,Motor NDE,SPM,2026-03-16,4326
762.WI212,Motor DE,SPM,2026-04-08,4327
762.WI212,Motor NDE,SPM,2026-04-08,4328
442.WI004,Motor DE,SPM,2026-04-20,4329
442.WI004,Motor NDE,SPM,2026-04-20,4330
762.WI213,Motor DE,SPM,2026-01-27,4331
762.WI213,Motor NDE,SPM,2026-01-27,4332
442.WI005,Motor DE,SPM,2026-04-20,4333
442.WI005,Motor NDE,SPM,2026-04-20,4334
762.WI214,Motor DE,SPM,2026-04-08,4335
762.WI214,Motor NDE,SPM,2026-04-08,4336
762.WI216,Motor DE,SPM,2026-04-08,4337
762.WI216,Motor NDE,SPM,2026-04-08,4338
531.FN380,Fan NDE,Gs,2026-04-23,4366
531.FN530,Fan NDE,Gs,2026-04-23,4370
531.FN242,Motor NDE,Gs,2026-04-23,4371
531.FN242,Motor DE,Gs,2026-04-23,4372
531.FN242,Fan DE,Gs,2026-04-23,4373
531.FN242,Fan NDE,Gs,2026-04-23,4374
532.FN380,Fan NDE,Gs,2026-04-27,4394
532.FN530,Fan NDE,Gs,2026-04-23,4398
532.FN242,Motor NDE,Gs,2026-03-17,4399
532.FN242,Motor DE,Gs,2026-03-17,4400
532.FN242,Fan DE,Gs,2026-03-17,4401
532.FN242,Fan NDE,Gs,2026-03-17,4402
532.BE220,Shaft 1 inboard  DE,Gs,2026-04-23,4405
532.BE220,Shaft 2  inboard  DE,Gs,2026-04-23,4406
532.BE220,Shaft 2  outboard NDE,Gs,2026-04-23,4407
532.BE220,Bearing DE,Gs,2026-04-23,4408
532.BE220,Bearing NDE,Gs,2026-04-23,4409
533.FN350,Fan NDE,Gs,2026-04-22,4429
533.FN530,Fan NDE,Gs,2026-04-22,4433
533.FN364,Motor NDE,Gs,2026-04-22,4434
533.FN364,Motor DE,Gs,2026-04-22,4435
533.FN364,Fan DE,Gs,2026-04-22,4436
533.FN364,Fan NDE,Gs,2026-04-22,4437
533.MD302,Motor NDE,Gs,2026-04-22,4438
533.MD302,Motor DE,Gs,2026-04-22,4439
533.MD302,Shaft 1 inboard  DE,Gs,2026-04-22,4440
533.MD302,Shaft 1 Outboard NDE,Gs,2026-04-22,4441
533.MD302,Shaft 2  inboard  DE,Gs,2026-04-22,4442
533.MD302,Shaft 2  outboard NDE,Gs,2026-04-22,4443
533.BE220,Shaft 1 inboard  DE,Gs,2026-04-22,4446
533.BE220,Shaft 2  inboard  DE,Gs,2026-04-22,4447
534.FN350,Fan NDE,Gs,2026-04-27,4461
534.FN364,Motor NDE,Gs,2026-04-27,4462
534.FN364,Motor DE,Gs,2026-04-27,4463
534.FN364,Fan DE,Gs,2026-04-27,4464
534.FN364,Fan NDE,Gs,2026-04-27,4465
534.FN530,Fan NDE,Gs,2026-04-27,4469
534.BE220,Shaft 1 inboard  DE,Gs,2026-04-27,4472
534.BE220,Shaft 2  inboard  DE,Gs,2026-04-27,4473
534.MD302,Motor NDE,Gs,2026-04-27,4474
534.MD302,Motor DE,Gs,2026-04-27,4475
534.MD302,Shaft 1 inboard  DE,Gs,2026-04-27,4476
534.MD302,Shaft 1 Outboard NDE,Gs,2026-04-27,4477
534.MD302,Shaft 2  inboard  DE,Gs,2026-04-27,4478
534.MD302,Shaft 2  outboard NDE,Gs,2026-04-27,4479
641.FN952,Fan NDE,Gs,2026-04-27,4483
642.FN952,Fan NDE,Gs,2026-04-27,4487
643.FN952,Fan NDE,Gs,2026-04-27,4491
644.FN952,Fan NDE,Gs,2026-04-27,4495
645.FN952,Fan NDE,Gs,2026-04-27,4499
646.FN952,Fan NDE,Gs,2026-04-27,4503
742.CP110,Compressor DE,Gs,2026-04-22,4506
742.CP111,Compressor DE,Gs,2026-04-22,4510
744.CP110,Compressor DE,Gs,2026-03-18,4514
744.CP111,Compressor DE,Gs,2026-02-08,4518
531.FN380,Fan NDE,Gs,2026-05-13,4544
531.FN530,Fan NDE,Gs,2026-05-13,4548
531.FN242,Motor NDE,Gs,2026-05-13,4549
531.FN242,Motor DE,Gs,2026-05-13,4550
531.FN242,Fan DE,Gs,2026-05-13,4551
531.FN242,Fan NDE,Gs,2026-05-13,4552
531.BE220,Shaft 1 inboard  DE,Gs,2026-05-13,4561
531.BE220,Shaft 2  inboard  DE,Gs,2026-05-13,4562
531.BE220,Shaft 2  outboard NDE,Gs,2026-05-13,4563
531.BE220,Bearing DE,Gs,2026-05-13,4564
531.BE220,Bearing NDE,Gs,2026-05-13,4565
532.FN380,Fan NDE,Gs,2026-05-13,4576
532.FN530,Fan NDE,Gs,2026-05-13,4580
532.FN242,Motor NDE,Gs,2026-05-13,4581
532.FN242,Motor DE,Gs,2026-05-13,4582
532.FN242,Fan DE,Gs,2026-05-13,4583
532.FN242,Fan NDE,Gs,2026-05-13,4584
533.FN350,Fan NDE,Gs,2026-05-11,4604
533.FN350,Fan NDE,Gs,2026-05-11,4608
533.FN364,Motor NDE,Gs,2026-05-11,4609
533.FN364,Motor DE,Gs,2026-05-11,4610
533.FN364,Fan DE,Gs,2026-05-11,4611
533.FN364,Fan NDE,Gs,2026-05-11,4612
533.MD302,Motor NDE,Gs,2026-05-11,4613
533.MD302,Motor DE,Gs,2026-05-11,4614
533.MD302,Shaft 1 inboard  DE,Gs,2026-05-11,4615
533.MD302,Shaft 1 Outboard NDE,Gs,2026-05-11,4616
533.MD302,Shaft 2  inboard  DE,Gs,2026-05-11,4617
533.MD302,Shaft 2  outboard NDE,Gs,2026-05-11,4618
533.MD302,Shaft 3  inboard  DE,Gs,2026-05-11,4619
533.MD302,Shaft 3  outboard NDE,Gs,2026-05-11,4620
533.BE220,Shaft 1 inboard  DE,Gs,2026-05-11,4623
533.BE220,Shaft 2  inboard  DE,Gs,2026-05-11,4624
533.BE220,Shaft 2  inboard  DE,Gs,2026-05-11,4625
533.BE220,Shaft 2  outboard NDE,Gs,2026-05-11,4626
533.BE220,Bearing DE,Gs,2026-05-11,4627
533.BE220,Bearing NDE,Gs,2026-05-11,4628
534.FN350,Fan NDE,Gs,2026-05-13,4642
534.FN364,Motor NDE,Gs,2026-04-27,4643
534.FN364,Motor DE,Gs,2026-04-27,4644
534.FN364,Fan DE,Gs,2026-04-27,4645
534.FN364,Fan NDE,Gs,2026-04-27,4646
534.FN530,Fan NDE,Gs,2026-05-13,4650
534.MD302,Motor NDE,Gs,2026-04-27,4651
534.MD302,Motor DE,Gs,2026-04-27,4652
534.MD302,Shaft 1 inboard  DE,Gs,2026-04-27,4653
534.MD302,Shaft 1 Outboard NDE,Gs,2026-04-27,4654
534.MD302,Shaft 2  inboard  DE,Gs,2026-04-27,4655
534.MD302,Shaft 2  outboard NDE,Gs,2026-04-27,4656
641.FN952,Fan NDE,Gs,2026-05-13,4660
642.FN952,Fan NDE,Gs,2026-05-13,4664
643.FN952,Fan NDE,Gs,2026-05-13,4668
644.FN952,Fan NDE,Gs,2026-05-13,4672
645.FN952,Fan NDE,Gs,2026-05-13,4676
646.FN952,Fan NDE,Gs,2026-05-13,4680
213.HC100,Crusher DE,Gs,2026-05-13,4683
213.HC100,Crusher NDE,Gs,2026-05-13,4684
742.CP110,Compressor DE,Gs,2026-05-11,4687
742.CP112,Compressor DE,Gs,2026-05-11,4691
742.CP113,Compressor DE,Gs,2026-05-11,4695
744.CP110,Compressor DE,Gs,2026-05-11,4699
744.CP111,Compressor DE,Gs,2026-05-11,4703
744.CP113,Motor NDE,Gs,2026-05-11,4705
744.CP113,Motor DE,Gs,2026-05-11,4706
744.CP113,Compressor DE,Gs,2026-05-11,4707
744.CP113,Compressor NDE,Gs,2026-05-11,4708
